Zustand Uhrzeit: 10:25:50: STR 19 | EIN 0 | BAU 2 | PAR 4 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:09: STR 19 | EIN 0 | BAU 1 | PAR 5 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:10: STR 19 | EIN 0 | BAU 0 | PAR 6 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:24: STR 18 | EIN 1 | BAU 0 | PAR 6 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:25: STR 18 | EIN 0 | BAU 1 | PAR 6 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:45: STR 18 | EIN 0 | BAU 0 | PAR 7 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:12: STR 17 | EIN 1 | BAU 0 | PAR 7 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:13: STR 17 | EIN 0 | BAU 1 | PAR 7 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:17: STR 16 | EIN 1 | BAU 1 | PAR 7 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:33: STR 16 | EIN 1 | BAU 0 | PAR 8 [STA 17] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:34: STR 16 | EIN 0 | BAU 1 | PAR 8 [STA 17] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:33:54: STR 16 | EIN 0 | BAU 0 | PAR 9 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:41: STR 15 | EIN 1 | BAU 0 | PAR 9 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:42: STR 15 | EIN 0 | BAU 1 | PAR 9 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:44: STR 14 | EIN 1 | BAU 1 | PAR 9 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:45: STR 14 | EIN 0 | BAU 2 | PAR 9 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:02: STR 14 | EIN 0 | BAU 1 | PAR 10 [STA 15] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:05: STR 14 | EIN 0 | BAU 0 | PAR 11 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:37: STR 13 | EIN 1 | BAU 0 | PAR 11 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:38: STR 13 | EIN 0 | BAU 1 | PAR 11 [STA 14] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:37:58: STR 13 | EIN 0 | BAU 0 | PAR 12 [STA 13] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:19: STR 12 | EIN 1 | BAU 0 | PAR 12 [STA 13] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:20: STR 12 | EIN 0 | BAU 1 | PAR 12 [STA 13] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:40: STR 12 | EIN 0 | BAU 0 | PAR 13 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:39:00: STR 12 | EIN 0 | BAU 0 | PAR 12 [STA 12] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:24:47: STR 12 | EIN 0 | BAU 0 | PAR 11 [STA 12] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:30: STR 12 | EIN 0 | BAU 0 | PAR 10 [STA 12] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:32:40: STR 12 | EIN 0 | BAU 0 | PAR 10 [STA 12] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:41: STR 12 | EIN 0 | BAU 1 | PAR 10 [STA 12] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:42: STR 12 | EIN 0 | BAU 2 | PAR 10 [STA 12] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:43: STR 12 | EIN 0 | BAU 3 | PAR 10 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:33:01: STR 12 | EIN 0 | BAU 2 | PAR 10 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:33:02: STR 12 | EIN 0 | BAU 1 | PAR 10 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:33:03: STR 12 | EIN 0 | BAU 0 | PAR 10 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:40:23: STR 11 | EIN 1 | BAU 0 | PAR 10 [STA 12] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:40:25: STR 10 | EIN 2 | BAU 0 | PAR 10 [STA 12] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:40:35: STR 10 | EIN 2 | BAU 0 | PAR 10 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:36: STR 10 | EIN 1 | BAU 1 | PAR 10 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
